epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,778.689,1.16178,0.36212,0.00125,0.95799,0.78255,0.85936,0.5479,1.11406,0.34681,0.00135,0.000742625,0.000742625,0.000742625
43,796.096,1.17142,0.36363,0.00121,0.90069,0.83674,0.87362,0.56622,1.10785,0.3476,0.00132,0.00073025,0.00073025,0.00073025
44,814.911,1.15565,0.35535,0.00122,0.90572,0.8243,0.86702,0.5605,1.11282,0.3492,0.00132,0.000717875,0.000717875,0.000717875
45,832.311,1.20203,0.38268,0.00122,0.92951,0.82517,0.86791,0.56038,1.1107,0.34302,0.00132,0.0007055,0.0007055,0.0007055
46,856.822,1.21906,0.37564,0.00123,0.92286,0.81029,0.87113,0.55777,1.15553,0.35226,0.00137,0.000693125,0.000693125,0.000693125
47,882.034,1.13955,0.35644,0.00123,0.93094,0.819,0.87015,0.56437,1.096,0.34349,0.00129,0.00068075,0.00068075,0.00068075
48,899.299,1.16404,0.36524,0.00123,0.93201,0.81135,0.86958,0.56222,1.1019,0.34181,0.00134,0.000668375,0.000668375,0.000668375
49,919.913,1.12815,0.35016,0.00118,0.93889,0.81399,0.87681,0.5631,1.11111,0.34308,0.00132,0.000656,0.000656,0.000656
50,939.81,1.12114,0.34833,0.00124,0.92355,0.82772,0.87519,0.56408,1.09467,0.34179,0.0013,0.000643625,0.000643625,0.000643625
51,956.717,1.15678,0.35744,0.00122,0.91554,0.789,0.86599,0.54964,1.13009,0.34765,0.00132,0.00063125,0.00063125,0.00063125
52,973.795,1.13615,0.35101,0.00118,0.88265,0.8608,0.88061,0.56075,1.10386,0.33449,0.00131,0.000618875,0.000618875,0.000618875
53,990.768,1.10626,0.34382,0.00114,0.92235,0.81562,0.86515,0.55238,1.12133,0.34224,0.00132,0.0006065,0.0006065,0.0006065
54,1007.79,1.11308,0.34104,0.00118,0.91197,0.82965,0.8771,0.56782,1.0981,0.33478,0.00128,0.000594125,0.000594125,0.000594125
55,1027.35,1.1244,0.34484,0.0012,0.8949,0.84739,0.8826,0.56623,1.10479,0.33953,0.00131,0.00058175,0.00058175,0.00058175
56,1044.5,1.13705,0.35011,0.00115,0.93671,0.85143,0.88312,0.56244,1.11257,0.3306,0.0013,0.000569375,0.000569375,0.000569375
57,1061.79,1.15501,0.35041,0.00115,0.90269,0.84874,0.88519,0.56466,1.09201,0.32936,0.00128,0.000557,0.000557,0.000557
58,1078.78,1.10569,0.33426,0.00117,0.91553,0.83372,0.88641,0.56522,1.11443,0.33454,0.00132,0.000544625,0.000544625,0.000544625
59,1095.86,1.11324,0.33258,0.00123,0.93869,0.83206,0.88163,0.56205,1.09482,0.32994,0.0013,0.00053225,0.00053225,0.00053225
60,1112.85,1.14764,0.34627,0.0012,0.91874,0.84407,0.88283,0.56556,1.0999,0.33144,0.00131,0.000519875,0.000519875,0.000519875
61,1131.49,1.09954,0.32814,0.0011,0.92477,0.8511,0.88936,0.57443,1.10223,0.32503,0.00128,0.0005075,0.0005075,0.0005075
62,1148.97,1.09719,0.3241,0.00113,0.92038,0.83278,0.89748,0.57581,1.11521,0.32213,0.00131,0.000495125,0.000495125,0.000495125
63,1166.34,1.07933,0.32281,0.00115,0.91893,0.8434,0.88635,0.56981,1.09126,0.3243,0.0013,0.00048275,0.00048275,0.00048275
64,1183.52,1.10175,0.32483,0.00115,0.93411,0.84156,0.88536,0.55884,1.11988,0.33232,0.00132,0.000470375,0.000470375,0.000470375
65,1200.86,1.05707,0.31052,0.00115,0.91501,0.8358,0.89084,0.54842,1.10138,0.32338,0.00128,0.000458,0.000458,0.000458
66,1218.65,1.09467,0.3216,0.00117,0.87957,0.85579,0.88207,0.55108,1.10551,0.32743,0.00129,0.000445625,0.000445625,0.000445625
67,1235.89,1.09033,0.32317,0.00115,0.90082,0.83657,0.89464,0.56316,1.10645,0.33136,0.0013,0.00043325,0.00043325,0.00043325
68,1252.93,1.0929,0.32308,0.00116,0.94862,0.82699,0.88289,0.57005,1.09413,0.33147,0.00128,0.000420875,0.000420875,0.000420875
69,1270.2,1.05495,0.31111,0.00114,0.91081,0.85247,0.88488,0.5635,1.10248,0.32659,0.00128,0.0004085,0.0004085,0.0004085
70,1287.31,1.10835,0.3339,0.0011,0.90139,0.85866,0.89056,0.56728,1.11011,0.32666,0.0013,0.000396125,0.000396125,0.000396125
71,1304.62,1.07223,0.31717,0.00111,0.90496,0.85894,0.8928,0.56505,1.0927,0.32535,0.00129,0.00038375,0.00038375,0.00038375
72,1321.63,1.05766,0.31896,0.00113,0.90212,0.86702,0.89453,0.57263,1.1035,0.32728,0.00129,0.000371375,0.000371375,0.000371375
73,1339.42,1.03963,0.3069,0.0011,0.96004,0.82961,0.89302,0.57863,1.08594,0.32437,0.00127,0.000359,0.000359,0.000359
74,1356.79,1.07437,0.32701,0.00107,0.8658,0.86953,0.89181,0.57572,1.08488,0.31976,0.00126,0.000346625,0.000346625,0.000346625
75,1374.06,1.02471,0.30184,0.00109,0.9256,0.85641,0.89709,0.57122,1.07614,0.31107,0.00126,0.00033425,0.00033425,0.00033425
76,1391.12,1.02285,0.304,0.00109,0.91668,0.8346,0.89392,0.57915,1.07363,0.30993,0.00125,0.000321875,0.000321875,0.000321875
77,1408.35,1.04413,0.31008,0.00107,0.90436,0.84188,0.89443,0.58191,1.08624,0.32013,0.00126,0.0003095,0.0003095,0.0003095
78,1427.46,1.04381,0.30858,0.0011,0.95111,0.81164,0.89435,0.57944,1.07763,0.32122,0.00127,0.000297125,0.000297125,0.000297125
79,1444.72,1.04966,0.31382,0.00108,0.95463,0.81908,0.88789,0.57503,1.09883,0.32532,0.0013,0.00028475,0.00028475,0.00028475
80,1461.93,1.05157,0.31165,0.00107,0.88287,0.85824,0.88637,0.58051,1.09115,0.32109,0.00127,0.000272375,0.000272375,0.000272375
81,1479.37,1.04483,0.31492,0.00105,0.90399,0.85191,0.89157,0.58285,1.07407,0.31305,0.00126,0.00026,0.00026,0.00026
82,1496.52,1.03084,0.30265,0.00105,0.91023,0.85586,0.89365,0.58221,1.08493,0.31769,0.00129,0.000247625,0.000247625,0.000247625
83,1513.64,1.03311,0.30886,0.00105,0.92204,0.8646,0.89964,0.57914,1.08259,0.31538,0.00127,0.00023525,0.00023525,0.00023525
84,1532.14,1.01017,0.29349,0.00108,0.9082,0.86483,0.89591,0.58172,1.08612,0.31418,0.00128,0.000222875,0.000222875,0.000222875
85,1549.18,1.03787,0.30141,0.00106,0.93067,0.85874,0.89834,0.57575,1.08189,0.31446,0.00126,0.0002105,0.0002105,0.0002105
86,1566.33,1.02629,0.29821,0.00105,0.92959,0.85619,0.89425,0.57168,1.10689,0.31914,0.0013,0.000198125,0.000198125,0.000198125
87,1583.36,1.03473,0.29857,0.00106,0.96985,0.81721,0.88461,0.56404,1.10426,0.32091,0.00129,0.00018575,0.00018575,0.00018575
88,1600.53,1.03004,0.30085,0.00109,0.90134,0.86325,0.89242,0.57156,1.10707,0.31487,0.00131,0.000173375,0.000173375,0.000173375
89,1617.51,1.01371,0.29273,0.00108,0.91715,0.85933,0.89691,0.57781,1.08484,0.31063,0.00126,0.000161,0.000161,0.000161
90,1634.82,1.04007,0.30176,0.0011,0.92604,0.85008,0.89847,0.56386,1.12452,0.32024,0.00129,0.000148625,0.000148625,0.000148625
91,1670.1,0.96736,0.26889,0.00116,0.93855,0.85139,0.90142,0.56905,1.11288,0.31788,0.0013,0.00013625,0.00013625,0.00013625
92,1687.27,0.97866,0.27212,0.00112,0.92845,0.85816,0.90502,0.58086,1.08517,0.31565,0.00127,0.000123875,0.000123875,0.000123875
93,1704.26,0.96277,0.26867,0.00113,0.90624,0.86196,0.90064,0.56245,1.12579,0.32526,0.0013,0.0001115,0.0001115,0.0001115
94,1721.49,0.94871,0.26518,0.0011,0.91528,0.85956,0.90091,0.57347,1.09733,0.31409,0.00128,9.9125e-05,9.9125e-05,9.9125e-05
95,1738.46,0.93005,0.25838,0.00112,0.92968,0.86205,0.9009,0.57455,1.09352,0.315,0.00127,8.675e-05,8.675e-05,8.675e-05
96,1755.61,0.95261,0.25992,0.00111,0.93012,0.86195,0.90049,0.57815,1.08146,0.31558,0.00126,7.4375e-05,7.4375e-05,7.4375e-05
97,1774.92,0.93079,0.26499,0.00111,0.93428,0.85734,0.90156,0.56989,1.10282,0.31543,0.00127,6.2e-05,6.2e-05,6.2e-05
98,1793.48,0.92959,0.25774,0.0011,0.94229,0.86085,0.90124,0.56994,1.10731,0.31789,0.00127,4.9625e-05,4.9625e-05,4.9625e-05
99,1810.63,0.93514,0.25963,0.00106,0.92943,0.85786,0.90013,0.57601,1.07929,0.31414,0.00126,3.725e-05,3.725e-05,3.725e-05
100,1827.61,0.93191,0.25984,0.00107,0.93023,0.8686,0.90157,0.57764,1.07975,0.31507,0.00125,2.4875e-05,2.4875e-05,2.4875e-05
